,genes,values
687,AMOTL1,0.26820433
688,OR51T1,-7.657835
689,GBP4,0.6719284
690,SAMHD1,-0.49622053
691,ABAT,-3.7692492
692,UBQLN2,5.9490943
693,ADAM10,-0.58525854
694,WASF2,-12.010013
695,LEP,-12.101385
696,TAS2R41,-0.16847885
697,SDS,-0.742702
698,SGK1,-6.351252
699,INHBA,-12.457905
700,IPO5,2.3298705
701,HEXB,-2.617345
702,TAF1L,5.1938686
703,POFUT1,-1.3781104
704,SLC5A7,-5.086189
705,CRB3,-0.8174415
706,NR0B2,4.1237187
707,PRR5L,0.7720415
708,PUF60,-0.015208604
709,CACYBP,-1.0594788
710,CIR1,0.28110582
711,DEFA3,-2.9156115
712,PDE4A,3.481228
713,ABCC1,6.039523
714,SHMT2,5.786053
715,VAV1,-0.61912686
716,ZNF571,1.2604623
717,OR10S1,-2.3231723
718,ZNF669,3.008552
719,RRBP1,6.3279567
720,MAP2K1,2.8089392
721,GABRA4,-9.110745
722,PCGF3,1.644061
723,PDE4C,-3.975336
724,ZNF841,-0.33984438
725,CLCF1,2.237317
726,TRAF6,-3.5019095
727,MC1R,1.1154678
728,DUSP6,-6.442672
729,HMBS,-0.9913802
730,CRY1,-0.6327864
731,CCNE1,-12.042357
732,DIS3,1.373036
733,CPT1C,17.012815
734,TAF15,-10.33396
735,TLE4,1.1343963
736,NMNAT3,-3.9375849
737,PRKD2,1.3339893
738,TP63,2.0714152
739,KMT2A,6.300077
740,ZNF772,-2.809506
741,VPS35,-0.65159553
742,FRAS1,1.1296582
743,TLE2,2.979685
744,MAN1B1,-6.7821913
745,MSI2,-3.4935534
746,LAMB1,2.0581996
747,ZNF573,2.285892
748,PRDX6,-0.7258437
749,TNFRSF18,-3.3744571
750,SMYD2,5.213658
751,LILRB5,-2.825447
752,TP73,-0.4669967
753,CAMKMT,3.4287012
754,ZNF175,-2.9924517
755,KIDINS220,-0.046927735
756,SHANK3,-8.478469
757,MAP2K3,-3.4603882
758,CUL1,2.5855026
759,ATXN3L,0.46800995
760,PPIL1,1.1166332
761,IGF2R,-1.7324649
762,OR13C3,4.773193
763,CHSY1,0.6677885
764,ALDH7A1,-30.463205
765,TIRAP,3.0630264
766,CDH1,4.804096
767,ECHS1,-15.00846
768,HSPA6,6.2398767
769,RBL1,2.4104757
770,RIMS1,-0.09771592
771,PKN1,1.2537822
772,CANT1,-7.578017
773,COL11A2,1.343259
774,TUBB4B,2.3990145
775,GLUL,1.242121
776,IKBKE,1.5364885
777,ATG9B,0.21259074
778,C1S,-2.8479028
779,NCK1,4.4338036
780,OR10H1,-1.5362542
781,HBS1L,4.439352
782,OR2L2,3.8784611
783,PPP2R2C,7.764246
784,TRDN,1.642086
785,EVC,-0.032019287
786,TGFB1,-11.09797
787,CNOT6,0.75636685
788,MRPL34,8.033623
789,HACD3,-12.613978
790,TSC1,4.125683
791,ARG1,-1.1435351
792,KLHL9,-0.4386472
793,TTF2,1.6379702
794,PLCL1,5.372129
795,LGMN,1.7260832
796,C4A,4.9427266
797,GABRB3,-19.307436
798,LPCAT3,0.035760928
799,PSMD11,-2.691915
800,MYO1G,3.6926756
801,LEFTY1,-2.5556707
802,ASAP3,1.2375779
803,IPO9,-0.2408157
804,DLL1,-2.6969821
805,CXCL12,6.2440424
806,KRT14,-0.98081154
807,CHRNB2,-0.49679682
808,MAOA,-23.833658
809,IL4I1,12.382902
810,DGKB,0.4749719
811,ARHGEF6,0.90947306
812,GBA3,-3.6734228
813,RNGTT,2.6580994
814,HAP1,-2.3189955
815,E2F3,-1.853767
816,TNNC2,-3.9744668
817,MANBA,5.0218225
818,WNT2,-1.528611
819,CLCA1,0.26663104
820,SGCD,2.5903568
821,ARPC2,-9.467746
822,IL20RB,4.2537885
823,SLITRK3,3.3297176
824,GLRA2,0.11695173
825,UBE2H,-0.395454
826,EFNA4,10.655028
827,HMGCS1,10.706523
828,MGST2,-5.623807
829,CERS4,1.7405306
830,CYP2C9,-9.626221
831,PAK2,0.028690107
832,DGKE,-6.655153
833,NPY2R,-0.14376447
834,ZNF160,-1.1176007
835,MVB12B,-0.20170636
836,FMO4,1.2371771
837,ADH5,-0.52741474
838,HLA-A,-13.549765
839,GRM6,-5.308403
840,PDE8A,0.9391143
841,HS3ST5,0.13916053
842,HMGCLL1,11.394392
843,GNB1,-4.807617
844,RAPGEF6,-0.06466469
845,SFRP4,0.6280024
846,ZNF716,-1.3803958
847,HTR2C,4.4634614
848,CD1B,-0.6819886
849,PFKP,-4.658052
850,NTNG1,11.70422
851,MYO1H,-6.6351595
852,SLC4A2,-3.953772
853,LCK,5.208735
854,KCNJ2,-7.465052
855,RCAN2,-1.3338872
856,ADRB1,5.373054
857,RPL23A,7.9713435
858,ZNF93,-1.8911283
859,EIF2B4,-2.2843957
860,ZNF586,-2.7086961
861,HNF4G,0.84606767
862,HOXA10,-7.8551054
863,ZNF623,0.63228935
864,ZNF777,-2.1161985
865,UTS2R,-0.027335173
866,QRSL1,0.8382023
867,TEAD3,0.6172612
868,CXCR6,3.7173624
869,CR2,-2.6863136
870,DGKG,-9.233962
871,GNG11,13.8848505
872,SAP18,-0.8216147
873,CPEB3,-0.03535973
874,U2AF2,-1.0823973
875,ATP6V1F,-8.05408
876,STS,-0.5426442
877,GSTO1,9.931636
878,KCNMB3,-2.6822145
879,MAP3K11,0.19518204
880,PLCB4,-12.931261
881,GOSR2,9.528461
882,OR56A3,-0.37179604
883,ZNF282,-0.9633291
884,IRF1,-11.590919
885,TGDS,1.1061244
886,AFF1,-7.5473003
887,IL10RB,7.0681653
888,LIPE,-9.914807
889,NLRP7,0.31029612
890,OR6F1,-8.95173
891,KCNJ16,3.3734891
892,CCK,1.6290092
893,OR51G1,6.7189307
894,EGF,-3.3897936
895,CPT1B,-1.8192964
896,KRT13,-2.0782266
897,ACAT1,-0.8192239
898,TEAD4,-0.5684157
899,COL12A1,-2.244735
900,ASIC1,-4.4286413
901,OR51F2,-2.3699458
902,PLG,-8.098543
903,SLC34A3,-1.1020285
904,ZNF662,-2.1265776
905,ZBTB17,-0.4629234
906,CPSF1,0.36732447
907,ABCA2,-1.7306619
908,VAV3,7.5240564
909,LARS2,0.35934168
910,CKB,0.9479138
911,SLC5A1,4.420744
912,CHUK,-4.727607
913,RECK,5.68358
914,PLA2G4D,-6.007097
915,ENPP6,-4.924775
916,BCR,-0.893667
917,PRKACB,-14.23101
918,ZNF311,-2.0535145
919,SCN9A,0.08477842
920,TXNRD1,-2.974987
921,AP1S1,-2.7003384
922,UPP1,-11.615227
923,GM2A,2.030463
924,AGPAT1,-6.4415975
925,RALBP1,-0.6949889
926,IL2RA,5.993285
927,NAIP,6.0576057
928,HACL1,-0.00088721013
929,VDAC1,3.652161
930,CD40,-8.508381
931,FFAR2,2.835494
932,CYP17A1,-2.73542
933,CD244,1.5744202
934,PANK3,1.9870855
935,XRCC5,-3.617015
936,MVD,-0.55548334
937,GUCY1A2,-24.53196
938,LILRA4,-1.008236
939,ADRM1,0.8518373
940,CDC14B,6.0528736
941,TNR,3.8103545
942,MAML3,3.7515361
943,CRLS1,-1.4528592
944,MAP3K14,0.39246866
945,ZNF124,-0.1007362
946,GBP3,0.52843606
947,EMP2,0.062008493
948,SSX2IP,-2.6134782
949,PDHA1,-7.131682
950,OR6T1,-8.829092
951,ALLC,0.46826914
952,CD44,9.407049
953,SYNJ1,2.8361292
954,HSPA1L,8.192851
955,LCT,-1.0495503
956,C9orf72,-0.09144706
957,SORD,2.980858
958,CHERP,0.122094266
959,OR2Y1,-4.5802083
960,CSNK1A1,-1.228637
961,CTH,1.739561
962,NPSR1,0.10731556
963,CHRND,-0.060533
964,OR2W3,-2.6726995
965,GALNT16,1.272625
966,LGR5,-1.3023039
967,ADIPOQ,-9.745159
968,OR9A4,9.049571
969,RANBP17,5.407826
970,ADCY9,16.049267
971,AOC2,-8.9334
972,RPS2,3.1939707
973,OR5M1,7.539626
974,CYP21A2,1.0579062
975,CREB3,0.5586948
976,MC2R,0.26202416
977,ZNF546,2.3411636
978,FANCC,-4.7379775
979,ASL,-1.0255821
980,OR51E1,-8.57625
981,OR52A5,-8.828189
982,APOA1,1.9643246
983,PDE1A,7.534711
984,POLR2A,0.9067562
985,MCCC1,1.634287
986,REST,-5.5706687
987,IMPA2,1.6144954
988,PEX6,0.006131102
989,MAP2K2,13.727296
990,ST3GAL3,-2.9352646
991,NF2,0.51873547
992,COL10A1,-1.2306241
993,OR56A5,2.0845828
994,PTGES2,5.0486884
995,GRAP2,2.4027064
996,NAPA,0.41092223
